Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Furniture,Furnishings,43.872,2,0.2,11.516
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders,27.882,3,0.7,-20.447
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Storage,540.048,3,0.2,-47.254
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,255.680,8,0.2,76.704
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,Technology,Phones,863.880,3,0.2,107.985
Standard Class,Corporate,United States,Greenville,North Carolina,27834,South,Office Supplies,Binders,17.616,4,0.7,-14.093
Second Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Binders,17.472,3,0.2,6.334
First Class,Consumer,United States,La Porte,Indiana,46350,Central,Technology,Phones,69.900,2,0,18.873
First Class,Consumer,United States,La Porte,Indiana,46350,Central,Furniture,Furnishings,41.850,5,0,10.881
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,6.570,3,0,1.774
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Storage,142.860,1,0,41.429
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Furniture,Chairs,292.272,6,0.2,18.267
Standard Class,Corporate,United States,Louisville,Colorado,80027,West,Furniture,Furnishings,29.328,3,0.2,3.666
Standard Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Paper,12.480,2,0,5.616
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,102.336,4,0.2,-12.792
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,48.792,3,0.8,-126.859
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,44.848,8,0.8,-67.272
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,10.368,2,0.2,3.629
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Chairs,388.430,5,0.3,-88.784
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,14.352,3,0.2,5.203
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Accessories,63.992,1,0.2,-7.199
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Art,86.352,3,0.2,5.397
First Class,Corporate,United States,Macon,Georgia,31204,South,Technology,Accessories,32.970,3,0,12.858
First Class,Corporate,United States,Macon,Georgia,31204,South,Technology,Accessories,83.880,4,0,30.197
First Class,Consumer,United States,Cedar Rapids,Iowa,52402,Central,Technology,Phones,278.400,3,0,80.736
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Labels,15.120,3,0.2,4.914
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,17.430,1,0.7,-13.363
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,251.640,3,0.2,88.074
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Binders,2.772,7,0.8,-4.851
Standard Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,14.900,5,0,1.043
Standard Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,15.480,3,0,4.489
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Furnishings,39.880,2,0,11.166
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,12.192,4,0.2,4.115
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,20.820,3,0,7.495
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,13.216,4,0.2,4.460
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,32.400,5,0,15.552
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Supplies,32.940,3,0,9.223
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Paper,114.200,5,0,52.532
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Labels,3.080,1,0,1.478
Standard Class,Consumer,United States,Pueblo,Colorado,81001,West,Office Supplies,Appliances,845.728,13,0.2,84.573
Standard Class,Corporate,United States,Fairfield,California,94533,West,Office Supplies,Binders,13.904,2,0.2,4.519
Standard Class,Corporate,United States,Fairfield,California,94533,West,Office Supplies,Binders,20.720,2,0.2,6.475
Second Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Technology,Phones,114.950,5,0,2.299
First Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Storage,26.960,2,0,7.010
Second Class,Consumer,United States,Springfield,Virginia,22153,South,Furniture,Furnishings,572.760,6,0,166.100
Second Class,Consumer,United States,Springfield,Virginia,22153,South,Furniture,Furnishings,286.380,3,0,83.050
Second Class,Home Office,United States,Arlington,Virginia,22204,South,Furniture,Bookcases,61.960,2,0,4.337
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,23.990,1,0,5.518
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Technology,Phones,287.970,3,0,77.752
Second Class,Consumer,United States,Houston,Texas,77036,Central,Technology,Phones,419.944,7,0.2,52.493
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Paper,46.760,7,0,22.445
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Binders,17.712,3,0.2,6.421
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Appliances,21.780,2,0,5.663
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,161.940,3,0,9.716
First Class,Consumer,United States,Pasadena,California,91104,West,Furniture,Chairs,161.568,2,0.2,-8.078
Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Labels,3.690,1,0,1.734
Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Labels,122.120,4,0,56.175
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Chairs,155.372,2,0.3,-13.318
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper,38.880,6,0,18.662
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Furniture,Furnishings,183.840,8,0,62.506
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Supplies,579.300,5,0,28.965
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,14.200,1,0.2,3.373
Standard Class,Corporate,United States,Deltona,Florida,32725,South,Technology,Phones,575.920,2,0.2,71.990
Standard Class,Corporate,United States,Deltona,Florida,32725,South,Office Supplies,Binders,5.184,6,0.7,-3.629
Standard Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Binders,5.229,3,0.7,-4.183
Standard Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Storage,285.552,2,0.2,35.694
Standard Class,Consumer,United States,Murray,Kentucky,42071,South,Office Supplies,Appliances,72.800,5,0,19.656
First Class,Consumer,United States,Wilmington,North Carolina,28403,South,Office Supplies,Paper,10.816,4,0.2,3.515
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Storage,46.260,3,0,12.490
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,17.460,6,0.8,-30.555
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,51.072,6,0.2,5.107
First Class,Corporate,United States,Norwich,Connecticut,6360,East,Office Supplies,Paper,11.340,1,0,5.557
Second Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Art,87.920,4,0,26.376
Standard Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,37.050,3,0,16.302
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Technology,Phones,2.970,1,0.4,-0.644
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Storage,27.440,2,0.2,2.401
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,1.080,3,0.8,-1.728
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,7.960,2,0.8,-13.930
Standard Class,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,Binders,140.736,8,0.2,52.776
Standard Class,Consumer,United States,Middletown,Connecticut,6457,East,Office Supplies,Storage,552.560,4,0,0.000
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Furniture,Furnishings,25.110,3,0,6.529
Second Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,29.780,2,0,8.041
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,677.580,3,0,176.171
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,75.040,8,0,36.019
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Technology,Machines,695.700,2,0.5,-27.828
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,15.660,5,0.7,-12.528
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,28.854,6,0.7,-21.160
Standard Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Art,47.820,3,0,14.346
Standard Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Labels,13.050,5,0,6.003
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,93.780,2,0,36.574
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,47.180,7,0,23.590
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art,19.680,6,0,5.707
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,53.400,10,0,25.098
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,35.880,6,0,17.222
Second Class,Consumer,United States,Evanston,Illinois,60201,Central,Furniture,Chairs,258.279,3,0.3,-70.104
First Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Storage,31.400,2,0,7.850
Standard Class,Corporate,United States,San Francisco,California,94109,West,Technology,Phones,183.960,5,0.2,20.696
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,17.610,3,0,8.453
Standard Class,Corporate,United States,San Francisco,California,94109,West,Furniture,Tables,300.904,1,0.2,11.284
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,220.776,3,0.2,-44.155
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,281.424,11,0.2,-35.178
First Class,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Paper,79.140,3,0,36.404
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,1.988,1,0.6,-1.441
Second Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Chairs,145.568,2,0.2,0.000
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Art,123.256,7,0.2,9.244
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,23.680,4,0.2,7.400
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,309.576,4,0.4,-56.756
First Class,Corporate,United States,Tucson,Arizona,85705,West,Office Supplies,Binders,38.388,14,0.7,-25.592
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Machines,95.994,2,0.7,-63.996
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Accessories,239.952,6,0.2,-35.993
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Phones,201.584,2,0.2,15.119
First Class,Corporate,United States,Tucson,Arizona,85705,West,Furniture,Chairs,899.136,4,0.2,-146.110
First Class,Home Office,United States,Pico Rivera,California,90660,West,Furniture,Furnishings,145.900,5,0,62.737
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Bookcases,590.058,7,0.7,-786.744
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Art,14.040,3,0.2,1.580
Standard Class,Home Office,United States,Clinton,Maryland,20735,East,Technology,Accessories,49.080,3,0,4.908
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Labels,29.600,2,0,14.800
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Binders,17.088,4,0.2,5.554
Standard Class,Consumer,United States,Provo,Utah,84604,West,Furniture,Tables,912.750,5,0,118.658
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Appliances,1089.750,3,0,305.130
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Paper,447.840,8,0,219.442
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Art,16.400,5,0,4.264
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Technology,Phones,399.960,5,0.2,34.997
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Storage,158.900,5,0,7.945
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Binders,13.184,1,0.2,4.779
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,83.952,3,0.6,-90.248
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Storage,80.980,1,0,1.620
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,348.840,9,0,170.932
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,9.450,5,0,0.189
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Furniture,Furnishings,18.840,3,0,7.159
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Furniture,Bookcases,239.980,2,0,52.796
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Envelopes,167.960,2,0,78.941
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,104.850,3,0,28.310
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,484.830,3,0,126.056
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,122.970,3,0,60.255
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Storage,154.440,3,0,1.544
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,342.370,7,0,160.914
First Class,Corporate,United States,Burlington,North Carolina,27217,South,Office Supplies,Art,9.552,3,0.2,1.552
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,652.450,5,0.5,-430.617
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,66.645,3,0.5,-42.653
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,17.216,4,0.2,6.026
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,11.560,2,0,5.664
First Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,88.400,4,0,11.492
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,6.480,1,0,3.110
Standard Class,Home Office,United States,Salem,Virginia,24153,South,Technology,Phones,21.800,2,0,6.104
Standard Class,Home Office,United States,Salem,Virginia,24153,South,Office Supplies,Envelopes,251.790,3,0,118.341
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Furniture,Tables,205.176,2,0.4,-58.133
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,419.400,5,0.2,146.790
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Supplies,10.304,1,0.2,-2.190
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Tables,154.764,3,0.4,-36.112
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,116.784,2,0.2,21.897
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Art,75.480,2,0,19.625
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,39.980,2,0,9.995
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Furniture,Tables,393.165,3,0.5,-204.446
Standard Class,Home Office,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Labels,23.680,2,0.2,8.880
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Chairs,408.006,2,0.1,72.534
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,165.280,4,0,14.875
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,334.768,7,0.2,108.800
Second Class,Home Office,United States,Costa Mesa,California,92627,West,Technology,Accessories,239.970,3,0,26.397
Second Class,Home Office,United States,Costa Mesa,California,92627,West,Furniture,Furnishings,37.740,3,0,12.832
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Phones,946.344,7,0.2,118.293
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Accessories,151.200,3,0.2,32.130
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,4.928,4,0.6,-1.478
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Paper,86.272,4,0.2,31.274
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,72.588,2,0.7,-48.392
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Appliances,60.672,2,0.2,14.410
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,77.031,9,0.7,-59.057
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,119.904,6,0.2,-1.499
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Technology,Phones,263.960,5,0.2,23.097
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,363.648,4,0.2,-86.366
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,9.728,2,0.2,3.283
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Envelopes,14.750,5,0,7.080
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,29.800,5,0.2,9.313
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Labels,427.420,14,0,196.613
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,Phones,220.752,8,0.4,-40.471
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Binders,152.760,6,0,74.852
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Supplies,7.270,1,0,1.963
Second Class,Consumer,United States,Florence,Alabama,35630,South,Furniture,Chairs,1819.860,14,0,163.787
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,33.900,5,0,15.594
Standard Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Paper,31.104,6,0.2,10.886
Standard Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Art,5.248,2,0.2,0.590
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,263.880,3,0.2,42.881
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Furniture,Chairs,2453.430,5,0.3,-350.490
Second Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Binders,29.700,5,0,13.365
Second Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Paper,39.960,4,0,17.982
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,36.672,2,0.2,11.460
First Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Paper,13.760,2,0,6.330
Standard Class,Corporate,United States,Aurora,Colorado,80013,West,Office Supplies,Storage,139.424,4,0.2,17.428
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Technology,Phones,1979.928,9,0.2,148.495
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Storage,164.736,4,0.2,-39.125
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,470.302,7,0.3,-87.342
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,47.984,2,0.2,5.998
First Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,2.502,3,0.7,-1.751
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Technology,Phones,88.752,3,0.2,11.094
First Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.025,1,0.7,-1.350
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Paper,70.980,7,0,34.780
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Binders,91.680,3,0,45.840
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Binders,33.750,5,0,16.875
First Class,Corporate,United States,Mobile,Alabama,36608,South,Technology,Machines,3040.000,8,0,1459.200
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Binders,91.200,3,0,41.952
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Tables,452.940,3,0,67.941
Standard Class,Corporate,United States,New Bedford,Massachusetts,2740,East,Office Supplies,Binders,52.200,9,0,23.490
Standard Class,Corporate,United States,Irving,Texas,75061,Central,Office Supplies,Labels,15.936,4,0.2,5.179
Same Day,Consumer,United States,Middletown,Connecticut,6457,East,Furniture,Furnishings,27.460,2,0,9.886
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,55.424,2,0.2,19.398
Standard Class,Consumer,United States,Vineland,New Jersey,8360,East,Furniture,Tables,244.006,2,0.3,-31.372
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Technology,Accessories,159.984,2,0.2,43.996
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Furniture,Chairs,1024.716,6,0.3,-29.278
First Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Fasteners,3.680,2,0,1.803
Standard Class,Consumer,United States,Glendale,Arizona,85301,West,Furniture,Furnishings,121.376,4,0.2,-3.034
Standard Class,Consumer,United States,Glendale,Arizona,85301,West,Technology,Accessories,95.976,3,0.2,-10.797
Same Day,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Accessories,255.968,4,0.2,31.996
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Furniture,Chairs,872.940,3,0,226.964
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Binders,41.540,2,0,19.524
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Paper,12.960,2,0,6.221
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Art,6.848,2,0.2,0.599
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Labels,8.670,3,0,4.075
Same Day,Consumer,United States,Houston,Texas,77036,Central,Furniture,Furnishings,6.688,4,0.6,-4.013
Standard Class,Home Office,United States,Niagara Falls,New York,14304,East,Office Supplies,Art,17.280,6,0,5.011
Standard Class,Home Office,United States,Niagara Falls,New York,14304,East,Office Supplies,Binders,17.712,3,0.2,6.421
Standard Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Labels,28.910,7,0,13.299
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,South,Office Supplies,Supplies,52.136,7,0.2,5.865
First Class,Consumer,United States,Westminster,California,92683,West,Technology,Phones,31.968,4,0.2,2.398
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,25.920,4,0,12.442
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,40.460,7,0,19.825
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,33.870,3,0,8.806
Second Class,Consumer,United States,Jackson,Tennessee,38301,South,Office Supplies,Art,9.728,2,0.2,1.702
Second Class,Consumer,United States,Jackson,Tennessee,38301,South,Office Supplies,Paper,3.424,1,0.2,1.070
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Technology,Accessories,177.000,3,0,30.090
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Fasteners,3.760,2,0,1.316
Standard Class,Home Office,United States,Los Angeles,California,90008,West,Technology,Phones,1212.848,7,0.2,106.124
Standard Class,Home Office,United States,Los Angeles,California,90008,West,Technology,Accessories,89.970,3,0,37.787
Standard Class,Home Office,United States,Los Angeles,California,90008,West,Furniture,Furnishings,42.600,3,0,16.614
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Labels,5.040,2,0.2,1.764
Second Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Envelopes,62.960,4,0,28.332
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,5.880,1,0,2.881
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Chairs,977.292,6,0.1,173.741
Standard Class,Corporate,United States,Vancouver,Washington,98661,West,Furniture,Furnishings,9.640,2,0,3.663
Second Class,Consumer,United States,Columbus,Georgia,31907,South,Office Supplies,Art,40.050,3,0,11.214
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Art,10.192,7,0.2,3.185
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Storage,16.784,1,0.2,-0.210
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Art,13.120,5,0.2,3.772
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,18.160,5,0.2,6.583
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,16.056,3,0.2,5.820
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,223.056,9,0.2,69.705
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Storage,540.048,3,0.2,-47.254
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Technology,Phones,33.520,2,0.2,3.352
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Furniture,Furnishings,9.940,2,0,3.081
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Art,6.720,4,0,3.360
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Tables,1004.976,6,0.2,-175.871
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,17.880,3,0.2,5.588
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Technology,Machines,396.000,4,0,190.080
Same Day,Home Office,United States,Omaha,Nebraska,68104,Central,Office Supplies,Binders,34.500,3,0,15.525
First Class,Consumer,United States,Los Angeles,California,90036,West,Furniture,Furnishings,8.360,2,0,3.010
Standard Class,Corporate,United States,Pomona,California,91767,West,Office Supplies,Art,385.600,8,0,111.824
Standard Class,Corporate,United States,Pomona,California,91767,West,Office Supplies,Art,35.820,9,0,11.821
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Storage,200.064,3,0.2,12.504
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,21.380,5,0.8,-33.139
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,6.744,4,0.8,-11.465
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Chairs,63.686,1,0.3,-9.098
Second Class,Consumer,United States,North Las Vegas,Nevada,89031,West,Furniture,Tables,1669.600,4,0,116.872
Second Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,83.840,2,0.2,27.248
Second Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,13.272,3,0.2,4.313
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Binders,21.336,7,0.2,7.734
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,16.520,5,0.2,2.065
Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Furniture,Furnishings,206.112,6,0.2,48.952
Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Paper,19.920,5,0.2,6.723
